InvoiceDate,ClNumber,Portfolio,Total,Downpayment,Subsidy,InitialCreditAmount,ProductMix,Days Overdue as of 01.08,OverdueInstallmentsAmount,OverdueInstallments,DaysTillNextPayment,Branch,Balanceas of 01.08,Days Overdue as of 01.05,Overdue Amount,Manager,Contact updated,Current address updated,System located at indicated address,Client knows he has a debt,Client knows the amount of a debt,Client willing and capable to pay,Amount a client can pay this month,Last payment date,Last payment amount,Last payment method,Client knows the options of paying,The system is working,Date of the last contact by staff,Category
5/18/2020,A1AA06032,Sec/Third T,12162.5,1662.5,0,10500,Home System,0,0,0,26,B3,1540000,0,0,MJK,yes,yes,yes,,,,,,,,,,,CLAIMS TO HAVE COMPLETED PAYMNT
5/18/2020,B2AA04628,Sec/Third T,23853.12188,2400,0,21453.12188,Home System,122,1368000,5,29,B3,4800999,151,1368000,MJK,yes,yes,yes,yes,yes,yes,not this month,in apirl,,,yes,yes ,last week,CLIENT WILLING PAY OR LOCKDWN  
5/18/2020,C3AA04628,Sec/Third T,23853.12188,2400,0,21453.12188,Home System,122,1368000,5,29,B3,4800999,151,1368000,MJK,yes,yes,yes,yes,yes,yes,not this month,in apirl,,,yes,yes ,last week,CLIENT WILLING PAY OR LOCKDWN  
5/21/2020,A4C102101,Sec/Third T,5550,675,0,4875,Home System,208,802000,6,4,B11,802000,206,802000,,,,,,802000,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
5/21/2020,B5AA06034,Sec/Third T,12425,1250,0,11175,Home System,240,1149000,8,2,,,,,,,,,,,,,,,,,,,
5/30/2020,C6G905194,Sec/Third T,16949.99688,10234.375,0,6715.621875,Large Home System,199,1169000,7,13,B10,1348999,228,1348999,MJK,yes,yes,yes,yes,YES,yes,,2 weeks ago,doesn’t remember,mobile money,,yes,,CLIENT WILLING PAY OR LOCKDWN  
5/21/2020,A7CB04867,Sec/Third T,20018.74688,2428.125,0,17590.62188,Large Home System,0,0,0,5,,,,,,,,,,,,,,,,,,,
8/13/2020,B8FC08027,Sec/Third T,54064.66875,26950,0,27114.66875,Large Home System,33,1374000,2,28,,,,,,,,,,,,,,,,,,,
3/28/2020,C9FC04335,First T,25968.7375,15625,0,10343.7375,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
6/4/2020,A10L105274,Sec/Third T,4650,562.5,0,4087.5,Home System,193,679000,6,19,,,,,,,,,,,,,,,,,,,
6/16/2020,B11K206698,Sec/Third T,11512.5,1162.5,0,10350,Home System,305,1478000,11,30,,,,,,,,,,,,,,,,,,,
5/20/2020,C12A105513,Sec/Third T,27053.12188,2750,0,24303.12188,Large Home System,57,364000,1,4,,,,,,,,,,,,,,,,,,,
6/4/2020,A13H202223,Sec/Third T,7837.5,787.5,0,7050,Home System,165,514000,5,17,B4,1676000,163,548000,MJK,yes,yes,yes,yes,not sure,yes,but its the husband that makes payments ,,,,,YES,,CLIENT WILLING PAY OR LOCKDWN  
6/18/2020,B14D503035,Sec/Third T,3843.75,956.25,0,2887.5, Component ,464,634635,8,0,,,,,,,,,,,,,,,,,,,
6/4/2020,C15H707904,Sec/Third T,12600,1500,0,11100,Home System,140,633000,4,11,,,,,,,,,,,,,,,,,,,
7/17/2020,A16H707905,Sec/Third T,12428.125,1253.125,0,11175,Home System,272,1326000,9,1,,,,,,,,,,,,,,,,,,,
6/24/2020,B17K703522,Sec/Third T,9275,3125,0,6150,Home System,104,634000,4,16,,,,,,,,,,,,,,,,,,,
6/26/2020,C18K703623,Sec/Third T,7862.5,1562.5,0,6300,Home System,76,787.5,3,16,B17,3937.5,,787.5,MMM,yes,yes,yes,yes,YES,no,,20/2/2020,100000,BANK,,NO,MAY,SERVICECASES BATTERIES WARRANTY
5/31/2020,A19G305023,Sec/Third T,9218.75,1118.75,0,8100,Home System,79,468.75,3,13,B10,468.75,108,468.75,MJK,yes,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
7/31/2020,B20C404953,First T,71179.66563,43750,0,27429.66563,Large Home System,0,3387.5,0,0,,3387.5,,3387.5,,,,,,,,,,,,,,,
6/2/2020,C21F804548,Sec/Third T,5575,625,0,4950,Home System,318,3296.875,11,17,,4171.875,,3578.125,,,,,,,,,,,,,,,
6/5/2020,A22F804640,Sec/Third T,8656.25,6875,0,1781.25,Home System,319,312.5,3,0,,179.41875,,312.5,,,,,,,,,,,,,,,
5/30/2020,B23K104904,Sec/Third T,7587.5,762.5,0,6825,Home System,138,4956.25,5,13,,4956.25,,4956.25,,,,,,,,,,,,,,,
6/17/2020,C24H706910,Sec/Third T,12421.875,1246.875,0,11175,Home System,241,6584.375,8,1,,1987.5,,6584.375,,,,,,,,,,,,,,,
9/16/2020,A25FB06132,Sec/Third T,3378.125,0.315625,0,3377.809375,Nonstandard System,411,10287.5,17,0,,11068.74375,,11068.74375,,,,,,,,,,,,,,,
8/3/2020,B26M100886,Sec/Third T,45090.62188,19775,0,25315.62188,Nonstandard System,0,687.5,0,0,,687.5,,687.5,,,,,,,,,,,,,,,
6/11/2020,C27FC08093,First T,16802.18438,210.9375,0,16591.24688,Nonstandard System,382,2078.125,3,0,,2078.125,,2078.125,,,,,,,,,,,,,,,
6/26/2020,A28H704799,First T,34451.2375,18826.2375,0,15625,Nonstandard System,320,9312.5,1,0,,9778.125,,9778.125,,,,,,,,,,,,,,,
6/4/2020,B29FC08093,First T,16802.18438,210.9375,0,16591.24688,Nonstandard System,382,2162.5,3,0,,2162.5,,2162.5,,,,,,,,,,,,,,,
5/25/2020,C30FC08093,First T,16802.18438,210.9375,0,16591.24688,Nonstandard System,382,1109.375,3,0,,1109.375,,1109.375,,,,,,,,,,,,,,,
8/27/2020,A31FB06512,Sec/Third T,53043.375,6812.5,11353.125,34877.75,Nonstandard System,170,418.75,6,11,,418.75,,418.75,,,,,,,,,,,,,,,
6/29/2020,B32M100857,First T,49730.625,0.315625,12434.375,37295.93438,Nonstandard System,290,3250,1,0,,3250,,3250,,,,,,,,,,,,,,,
5/8/2020,C33FC07889,First T,70253.1,37440.6,0,32812.5,Nonstandard System,0,7671.86875,0,0,,5071.86875,,7671.86875,,,,,,,,,,,,,,,
3/19/2020,A34M100877,First T,208200.1969,0.315625,0,208199.8813,Nonstandard System,0,7671.86875,0,0,,2600,,7671.86875,,,,,,,,,,,,,,,
3/5/2020,B35FC06491,First T,41507.175,0.315625,0,41506.85938,Nonstandard System,0,637.5,0,0,,481.25,,481.25,,,,,,,,,,,,,,,
3/3/2020,C36FC06491,First T,41507.175,0.315625,0,41506.85938,Nonstandard System,0,2418.75,0,0,,2418.75,,2418.75,,,,,,,,,,,,,,,
3/31/2020,A37G905124,First T,95073.24375,35698.24375,15625,43750,Nonstandard System,333,2265.625,1,0,,763.259375,,2265.625,,,,,,,,,,,,,,,
3/28/2020,B38FC07898,First T,86871.14063,0.315625,0,86870.825,Nonstandard System,355,3793.75,1,0,,797.121875,,3793.75,,,,,,,,,,,,,,,
11/20/2019,C39L701649,First T,45720.625,3.125,0,45717.5,Nonstandard System,0,996.875,0,0,,996.875,,996.875,,,,,,,,,,,,,,,
3/31/2019,A40M100732,First T,125088.4375,93750,0,31338.4375,Nonstandard System,0,3609.375,0,0,,3609.375,,3609.375,,,,,,,,,,,,,,,
2/28/2019,B41M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,1625,0,0,,1415.971875,,1625,,,,,,,,,,,,,,,
2/28/2019,C42M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,1812.5,0,0,,1597.125,,1812.5,,,,,,,,,,,,,,,
2/28/2019,A43M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,13137.5,0,0,,4835.028125,,13137.5,,,,,,,,,,,,,,,
2/28/2019,B44M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,1006.25,0,0,,183.925,,1006.25,,,,,,,,,,,,,,,
2/28/2019,C45M100709,Sec/Third T,22715.9375,0,0,22715.9375,Nonstandard System,0,5628.125,0,0,,5628.125,,5628.125,,,,,,,,,,,,,,,
2/28/2019,A46M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,387.5,0,0,,381.821875,,387.5,,,,,,,,,,,,,,,
2/28/2019,B47M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,2456.25,0,0,,2456.25,,2456.25,,,,,,,,,,,,,,,
2/28/2019,C48M100709,Sec/Third T,22749.0625,0,0,22749.0625,Nonstandard System,0,2327.959375,0,0,,715.390625,,2327.959375,,,,,,,,,,,,,,,
10/13/2020,A49M100879,First T,35546.55,19921.875,0,15624.675,Nonstandard System,0,2327.959375,0,0,,1521.94375,,2327.959375,,,,,,,,,,,,,,,
2/29/2020,B50M100877,First T,256646.7625,115781.8125,0,140864.95,Nonstandard System,0,7159.375,0,0,,7159.375,,7159.375,,,,,,,,,,,,,,,
3/25/2020,C51FB06132,Sec/Third T,10103.125,1040.625,2312.5,6750,Nonstandard System,411,687.5,17,0,,687.5,,687.5,,,,,,,,,,,,,,,
5/31/2020,A52G905099,First T,121875,42500,15625,63750,Nonstandard System,394,2812.5,2,0,,1522.940625,,2812.5,,,,,,,,,,,,,,,
2/24/2020,B53K206902,Sec/Third T,54753.5,6250,11678.125,36825.375,Nonstandard System,0,625,0,0,,625,,625,,,,,,,,,,,,,,,
1/31/2020,C54M100835,First T,252841.8813,0.315625,0,252841.5656,Nonstandard System,0,531.25,0,0,,531.25,,531.25,,,,,,,,,,,,,,,
